,Clash Tag,Discord Tag,Discord ID
0,#9LYLR298G,?? Miss Lil ??#3457,352287619431923713
1,#L2JJP9PC,?? Miss Lil ??#3457,352287619431923713
2,#P2Q8CCRRU,?? Miss Lil ??#3457,352287619431923713
3,#2G9CC8CQG,?? Miss Lil ??#3457,352287619431923713
4,#89R9CPU0Q,?? Miss Lil ??#3457,352287619431923713
5,#UYQQURUG,?? Miss Lil ??#3457,352287619431923713
6,#PP29VU8QP,?? Miss Lil ??#3457,352287619431923713
7,#QUVJPQQQ,Prototype#4197,262864849300619264
8,#J9RJG2LG,Donkey#2381,143647277318275072
9,#99P08RY9G,?? Miss Lil ??#3457,352287619431923713
10,#PJ0QQP2Y,klassikreloadz#3945,142414438694256640
11,#2P0VQYGRY,Emperor/Gentoo Penguin#1381,274400612869865472
12,#2PVPUCY2V,Emperor/Gentoo Penguin#1381,274400612869865472
13,#2PV2UVCJC,tensionsmg#6803,295345132977258498
14,#RGUY0QL2,Jonas#2199,218513143909842944
15,#PCVCYC9Q,Stewart#7801,429431155838943242
16,#29QY82C8C,ThatsGoodForm#7756,226561394953289728
17,#L0JRVPGQ,Magic_Porkchop#5663,447726467095199744
18,#RQ9QJL08,Synn/Paladin#6169,477081639193935914
19,#2QQQ9Q9LP,Rah#4512,341026885985239051
20,#82R0L98YU,Arie#8982,335217496237801472
21,#JRL8LY2,Arie#8982,335217496237801472
22,#9RJY0Y8C0,Arie#8982,335217496237801472
23,#2PGV20URG,deno#0859,249836130697084928
24,#2JL92CJPC,DeViL#0114,395678132310507522
25,#PCQ9Y2VL2,Jonas#2199,218513143909842944
26,#PLV0VPC00,gibbs#2391,250991749541920768
27,#2C8YJYQ9C,Hoody Hood/AW#1752,310839034031243264
28,#8LJ2QL8Q0,Johnson#5512,416354155834245121
29,#2QCLYUL9Q,Johnson#5512,416354155834245121
30,#2JL0JUQP,killer#2933,522913084533243914
31,#QGLQGLR9,King Pumba#9691,216783758752350218
32,#QYR98UUU,Lachie#5236,457378236708552714
33,#9CLQP9J,lambchops#8343,264221369246416896
34,#QRPV0R2L,Prototype#4197,262864849300619264
35,#90VQLQYCY,Prototype#4197,262864849300619264
36,#U20PYLJR,Prototype#4197,262864849300619264
37,#RQVPL29P,DD#7922,258296170756046849
38,#YGGLV20RV,Prototype#4197,262864849300619264
39,#PC9R2928,Rogi#5021,163097919518408705
40,#R8U92QPQ,Trance#9683,162895115331829761
41,#2RQJGQ0,Trance#9683,162895115331829761
42,#PCPPV0LUV,paz1992#4651,270235867388313601
43,#8VRQL22GC,MarineBiologist#8209,302494430760402945
44,#9PCVCJ2GR,MarineBiologist#8209,302494430760402945
45,#2C9CLCY2R,mathsman#1208,230214242618441728
46,#8LPPQP09J,Billy#2445,308583606283141120
47,#PGJC8PRL0,Punisher#9161,518404562835472394
48,#22GRLJVQ,Rogi#5021,163097919518408705
49,#UBJBUYPY,$(Sang Sah#4022,426243988484390912
50,#U8JBUYPY,$(Sang Sah#4022,426243988484390912
51,#U8J8UYPY,$(Sang Sah#4022,426243988484390912
52,#U9PJGRRJ,Too Tall#3490,96487240884043776
53,#9LV9PYL0V,TheMLGNoob#6948,331014738618351616
54,#VU2GC2C8,adam#2222,227581295407005698
55,#QJ2YY2GY,DD#7922,258296170756046849
56,#2RQJGQ0U9,Trance#9683,162895115331829761
57,#8PRGCQLCV,DeeCee#3920,187295187863732224
58,#VP0QVY8,Noah AW#0837,502619544167383050
59,#9LQ9RPLUR,??????#0607,295058217682075667
